name,actor,information,date,star,evaluate,introduction
心迷宫,霍卫民WeiminHuo/王笑天XiaotianWang..., 中国大陆   剧情犯罪悬疑,2014 ,8.7,528483人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,马特·达蒙MattDamon/..., 美国德国法国英国   动作悬疑惊悚,2007 ,8.8,423142人评价,像吃了苏打饼一样干脆的电影。
上帝之城,无信息, 巴西法国   犯罪剧情,2002 ,9.0,303998人评价,被上帝抛弃了的上帝之城。
英雄本色,周润发Yun-FatChow/狄龙LungTi/张国..., 中国香港   剧情动作犯罪,1986 ,8.6,547532人评价,英雄泪短，兄弟情长。 
风之谷,岛本须美SumiShimamoto/松田洋治Y..., 日本   动画奇幻冒险,1984 ,8.9,357734人评价,动画片的圣经。
纵横四海,周润发Yun-FatChow/张国荣LeslieCheung..., 中国香港   剧情喜剧动作犯罪,1991 ,8.8,430383人评价,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,唐·钱德尔DonCheadle/苏菲·奥..., 英国南非意大利美国   剧情传记历史战争,2004 ,8.9,333549人评价,当这个世界闭上双眼，他却敞开了怀抱。
爱在午夜降临前,伊桑·霍克EthanHawke..., 美国希腊   剧情爱情,2013 ,8.9,408702人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,绫濑遥HarukaAyase/长泽雅美M..., 日本   剧情家庭,2015 ,8.8,454333人评价,是枝裕和的家庭习作。
绿里奇迹,汤姆·汉克斯TomHanks/..., 美国   犯罪剧情奇幻悬疑,1999 ,8.9,334303人评价,天使暂时离开。
记忆碎片,盖·皮尔斯GuyPearce/..., 美国   犯罪剧情悬疑惊悚,2000 ,8.7,610456人评价,一个针管引发的血案。
小丑,杰昆·菲尼克斯JoaquinPhoeni..., 美国加拿大   剧情犯罪惊悚,2019 ,8.7,1017564人评价,无介绍
